"","word","values"
"1","Abmachung","0.0040"
"2","Abmachungen","0.0040"
"3","Abschluß","0.0040"
"4","Abschlüße","0.0040"
"5","Abschlußs","0.0040"
"6","Abschlußes","0.0040"
"7","Abschlüßen","0.0040"
"8","Abstimmung","0.0040"
"9","Abstimmungen","0.0040"
"10","Agilität","0.0040"
"11","Aktivität","0.0040"
"12","Aktivitäten","0.0040"
"13","Aktualisierung","0.0040"
"14","Aktualisierungen","0.0040"
"15","Aktualität","0.0040"
"16","Aktualitäten","0.0040"
"17","Akzeptanz","0.0040"
"18","Andrang","0.0040"
"19","Andrangs","0.0040"
"20","Andranges","0.0040"
"21","Anerkennung","0.0855"
"22","Anerkennungen","0.0855"
"23","Angebot","0.0711"
"24","Angeboten","0.0711"
"25","Angebote","0.0711"
"26","Angebots","0.0711"
"27","Angebotes","0.0711"
"28","Angemessenheit","0.0040"
"29","Anhebung","0.0040"
"30","Anhebungen","0.0040"
"31","Anheiterung","0.0040"
"32","Ankurbelung","0.0040"
"33","Annehmlichkeit","0.0040"
"34","Annehmlichkeiten","0.0040"
"35","Annäherung","0.0040"
"36","Annäherungen","0.0040"
"37","Anpassung","0.0040"
"38","Anpassungen","0.0040"
"39","Anpassungsfähigkeit","0.0040"
"40","Anreicherung","0.0040"
"41","Anreicherungen","0.0040"
"42","Anspruch","0.0040"
"43","Anspruchs","0.0040"
"44","Anspruches","0.0040"
"45","Ansprüchen","0.0040"
"46","Ansprüche","0.0040"
"47","Anstand","0.0040"
"48","Anstands","0.0040"
"49","Anständen","0.0040"
"50","Anstände","0.0040"
"51","Anstandes","0.0040"
"52","Anstieg","0.0040"
"53","Anstiegen","0.0040"
"54","Anstiegs","0.0040"
"55","Anstiege","0.0040"
"56","Anstieges","0.0040"
"57","Anständigkeit","0.0040"
"58","Anteil","0.0040"
"59","Anteilen","0.0040"
"60","Anteiles","0.0040"
"61","Anteils","0.0040"
"62","Anteile","0.0040"
"63","Anziehung","0.0040"
"64","Anziehungen","0.0040"
"65","Applaus","0.0871"
"66","Applausen","0.0871"
"67","Applauss","0.0871"
"68","Applause","0.0871"
"69","Applauses","0.0871"
"70","Attraktivität","0.0040"
"71","Aufbereitung","0.0040"
"72","Aufbereitungen","0.0040"
"73","Aufbesserung","0.0040"
"74","Aufbesserungen","0.0040"
"75","Auferstehung","0.0040"
"76","Auferstehungen","0.0040"
"77","Aufmerksamkeit","0.0040"
"78","Aufmerksamkeiten","0.0040"
"79","Aufmunterung","0.0040"
"80","Aufmunterungen","0.0040"
"81","Aufrichtigkeit","0.0040"
"82","Aufschwung","0.0040"
"83","Aufschwüngen","0.0040"
"84","Aufschwungs","0.0040"
"85","Aufschwunges","0.0040"
"86","Aufschwünge","0.0040"
"87","Aufstieg","0.0040"
"88","Aufstiegen","0.0040"
"89","Aufstiege","0.0040"
"90","Aufstiegs","0.0040"
"91","Aufstieges","0.0040"
"92","Aufstockung","0.0040"
"93","Aufstockungen","0.0040"
"94","Auftrag","0.0040"
"95","Aufträgen","0.0040"
"96","Aufträge","0.0040"
"97","Auftrages","0.0040"
"98","Auftrags","0.0040"
"99","Auftrieb","0.0040"
"100","Auftrieben","0.0040"
"101","Auftriebs","0.0040"
"102","Auftriebes","0.0040"
"103","Auftriebe","0.0040"
"104","Aufwertung","0.0040"
"105","Aufwertungen","0.0040"
"106","Aufwärtstrend","0.0040"
"107","Augenweide","0.0844"
"108","Augenweiden","0.0844"
"109","Ausbau","0.0040"
"110","Ausbaues","0.0040"
"111","Ausbaus","0.0040"
"112","Ausbildung","0.0040"
"113","Ausbildungen","0.0040"
"114","Ausdauer","0.0886"
"115","Ausgleich","0.0040"
"116","Ausgleichen","0.0040"
"117","Ausgleichs","0.0040"
"118","Ausgleiches","0.0040"
"119","Ausgleiche","0.0040"
"120","Ausgleichszahlung","0.0040"
"121","Ausgleichszahlungen","0.0040"
"122","Auszeichnung","0.0040"
"123","Auszeichnungen","0.0040"
"124","Authentizität","0.0040"
"125","Autonomie","0.0040"
"126","Autonomien","0.0040"
"127","Bedeutung","0.0040"
"128","Bedeutungen","0.0040"
"129","Befreiung","0.0040"
"130","Befreiungen","0.0040"
"131","Befriedigung","0.0040"
"132","Befriedigungen","0.0040"
"133","Beförderung","0.0040"
"134","Beförderungen","0.0040"
"135","Begeisterung","0.32"
"136","Begeisterungen","0.32"
"137","Begnadigung","0.0040"
"138","Begnadigungen","0.0040"
"139","Begünstigung","0.0040"
"140","Begünstigungen","0.0040"
"141","Beifall","0.3265"
"142","Beifalles","0.3265"
"143","Beifalls","0.3265"
"144","Beifallsruf","0.0040"
"145","Beifallsrufen","0.0040"
"146","Beifallsrufes","0.0040"
"147","Beifallsrufe","0.0040"
"148","Beifallsrufs","0.0040"
"149","Beilegung","0.0040"
"150","Beilegungen","0.0040"
"151","Beisteuerung","0.0040"
"152","Beitritt","0.0040"
"153","Beitritten","0.0040"
"154","Beitritts","0.0040"
"155","Beitritte","0.0040"
"156","Beitrittes","0.0040"
"157","Bekräftigung","0.0040"
"158","Bekräftigungen","0.0040"
"159","Belastbarkeit","0.0040"
"160","Belastbarkeiten","0.0040"
"161","Belebtheit","0.0040"
"162","Beliebtheit","0.0040"
"163","Belohnung","0.0813"
"164","Belohnungen","0.0813"
"165","Benefiz","0.0040"
"166","Benefizes","0.0040"
"167","Benefizen","0.0040"
"168","Benefize","0.0040"
"169","Bereicherung","0.0040"
"170","Bereicherungen","0.0040"
"171","Bereitschaft","0.0040"
"172","Bereitschaften","0.0040"
"173","Bereitstellung","0.0040"
"174","Bereitstellungen","0.0040"
"175","Beruhigung","0.0040"
"176","Beruhigungen","0.0040"
"177","Bescheidenheit","0.0852"
"178","Beschleunigung","0.0040"
"179","Beschleunigungen","0.0040"
"180","Beschwichtigung","0.0040"
"181","Beschwichtigungen","0.0040"
"182","Besitz","0.0040"
"183","Besitzes","0.0040"
"184","Besitzs","0.0040"
"185","Besserung","0.0040"
"186","Besserungen","0.0040"
"187","Besserungnen","0.0040"
"188","Bestätigung","0.0040"
"189","Bestätigungen","0.0040"
"190","Beteiligung","0.0040"
"191","Beteiligungen","0.0040"
"192","Bewunderer","0.0040"
"193","Bewunderers","0.0040"
"194","Bewunderern","0.0040"
"195","Bewunderung","0.0040"
"196","Bewunderungen","0.0040"
"197","Bildung","0.0040"
"198","Bildungen","0.0040"
"199","Blüte","0.0040"
