"number","text","code","Anmerkung"
"2","ÜBERWACHUNGSGESETZ STOPPEN! Vom super Podium, über ne gute Protest-Aktion bis zur überfüllten sehr kritischen Anhörung im Landtag: Dank an alle Interessierten, Aktiven und Unterstützer!! #hlg #Hessentrojaner https://t.co/gIenMs98QJ","",""
"3","#Amazon-Chef Jeff #Bezos ist mit 112 Mrd. Dollar jetzt der reichste Mensch der Welt. Zur Feier des Tages darf jeder Amazon-Mitarbeiter heute einmal auf´s Klo!","",""
"5","Der Marienplatz ist schon voll. Mehr als 10.000 Menschen demonstrieren gerade gegen das neue bayerische Polizeiaufgabengesetz #noPAG Livebilder vom Marienplatz gibt es hier: https://t.co/Y5lblLwKIo https://t.co/wQCrNv3c4s","",""
"6","Meine Hochachtung für die Stadt #Wetzlar, die sich konsequent gegen die NPD gewehrt hat. Bands, die das „Hakenkreuzlied“ und „Weiß und rein“ spielen, dürfen keinen öffentlichen Raum bekommen.

Über 2.000 Menschen protestierten gegen Nazis. #WetzlarNazifrei
https://t.co/QzthXR8ZrJ","",""
"7","Nach 4,5 Stunden Bashing des VS-Gesetzes weicht ausgerechnet der sogenannte Datenschutzbeauftragte von seiner eigenen, sehr kritischen schriftl. Stellungnahme komplett ab, lobt den Entwurf und bietet seine Hilfe zur Lösung einiger „handwerklicher Fehler“ an. WTF? #Hessentrojaner","",""
"8","Nach fast 3 Stunden Anhörung: Noch keine positive Stellungnahme zum Schwarz-Grünen #verfassungsschutzgesetz Statt dessen Fallen ständig Worte wie „verfassungswidrig“ „streichen“ „unglaublich“ „ungeeignet“ #Hessentrojaner","",""
"10","Sätze, die mit „Jens Spahn fordert ...“ beginnen, enden nie gut. https://t.co/i0cYw8x2S2","",""
"11","#Hessentrojaner: Landesregierung plant Ausweitung auf Alltagskriminalität

Schadsoftware nicht dem #Verfassungschutz, sondern der #Polizei zu geben ist kein ""guter Kompromiss"", keine Verbesserung. Im Gegenteil.

https://t.co/U7yDTaHg1E // @netzpolitik_org","",""
"12","IRRSINN: Deutschland 2017 mit 36,3 Mrd.€ auf Platz 9 bei Militärausgaben weltweit. 38,93 Mrd.€ (2018), 42,42 Mrd.€ (2019). Weitere 12 Mrd.€ mehr bis 2021?
DAGEGEN: #Kinderzuschlag zur Bekämpfung von #Kinderarmut ist #SchwarzRot 2019 nur 0,2 Mrd.€ wert. Rüstungswahn stoppen! https://t.co/hzjHqkCGYH","",""
"13","@JFroemmrich @stolenprivacy @Angela_Dorn @Kai_Klose @gruenehessen @fnp_zeitung „Fake News“... Mich interessiert welche „Kritiker viele Verbesserungen sehen wie Regelungen für V-Leute oder die Stärkung der parlamentarischen Kontrolle“. Sorry, CDU-Parallelwelt! Anhörung zum Gesetz war ein Totalverriss, völlig zurecht. Gesetz muss weg #hessentrojaner #hlt","",""
